ID,SID,PID,port,PORT_LON,PORT_LAT,start_date,end_date,start_recovery_date,end_recovery_date,total_impact,total_impact_value,max_impact,day_of_recover,DD,CCD,BCD,SSHS,SSHS_1,SSHS_2,SSHS_3,SSHS_4,SSHS_5,IF_LANDFALL_CLOSE2PORT,IF_LANDFALL,WIND,PRESSURE,DISTANCE,Wind_speed,Surge_height,Rainfall,Port_ranking,D_normal,D_cyclone,C_normal,C_cyclone,B_normal,B_cyclone,E_normal,E_cyclone,Seaport,Pop_C,Pop_Tract,PCT_Pov,WF,PCT_TA,PCT_ACEW,PCT_TI,PCT_SV,SL,Railway_Length,Highway_Length,Dock_Count,Coast_Gulf_of_Mexico,Coast_Atlantic,Coast_Pacific
11,2015126N27281,130,"Port Everglades, FL",-80.117801,26.093392,5/6/2015,5/6/2015,0,0,0,0,0,0,0,0.013970706,0.006809712,0,0,0,0,0,0,0,1,25,1016,120.4493802,6.1,0.145,0.2304,24,8.875,12,0.206030189,0.192059484,0.013930581,0.007120869,0.199623847,0.287191168,1,1944381,1237,0.67,0,7.458550222,97.03852652,8.545401966,69.18466085,0.605691205,33.55471403,49.96251982,14,0,1,0
12,2015126N27281,131,"PortMiami, FL",-80.181642,25.782862,5/6/2015,5/6/2015,0,0,0,0,0,0,2,0.053578642,0.006605573,0,0,0,0,0,0,0,1,25,1016,149.3649609,6.1,0.145,4.00E-04,52,8.25,6,0.204482523,0.15090388,0.006634418,2.88E-05,0.210013136,0.159613928,1,2701776,4910,0,0,23.67336611,41.8615996,25.7109119,68.51017684,0.086889729,20.41886182,108.2830806,27,0,1,0
13,2015126N27281,56,"Virginia, VA, Port of",-76.31174,36.86642,5/9/2015,5/12/2015,0,0,0,0,0,0,0,0.01191989,0.00339166,0,0,0,0,0,0,0,1,30,1012,14.86107711,7.7,0.089,0.5701,9,10.875,11,0.215913712,0.203993822,0.018802924,0.015411265,0.20268478,0.235456803,1,238005,2546,0.31,0,31.81029497,30.23582324,29.61128783,30.54006387,0.262182302,257.5222337,57.21231589,21,0,1,0
14,2015126N27281,57,"Baltimore, MD",-76.56164,39.250827,5/11/2015,5/12/2015,5/15/2015,5/16/2015 0:00,1,15.17265445,0.641336774,1,0,0.013887637,0,0,0,0,0,0,0,0,1,30,1012,180.2688173,6.2,0.073,0,16,9.875,11,0.194329535,0.180441899,0.007831588,0.011715619,0.171660516,0.209597128,1,854554,5980,0.88,1,14.51465201,75.7585132,15.12796414,79.96329663,0.096135528,175.9168648,56.57058486,78,0,0,0
15,2015126N27281,58,"Wilmington, DE",-75.50697,39.71589,5/11/2015,5/12/2015,0,0,0,0,0,0,0,0,3.78E-04,0,0,0,0,0,0,0,1,28,1012,159.5686371,5.5,-0.018,0.01,54,3.375,5,0.14102134,0.161724832,5.27E-04,1.50E-04,0.041949014,0.095073801,1,570713,2131,0,0,52.31106613,27.15298765,60.24797571,72.10543877,1.894016479,64.94331919,20.20703115,5,0,1,0
16,2015126N27281,59,"South Jersey Port Corp, NJ",-75.261085,39.846445,5/11/2015,5/12/2015,0,0,0,0,0,0,0,0,7.43E-04,0,0,0,0,0,0,0,1,28,1012,156.7893508,5.5,0.007,1.00E-04,30,4.5,7,0.151919846,0.170966251,0.001484542,7.41E-04,0.061181334,0.141526241,1,302273,4816,0.47,0,41.88475998,46.89812722,40.23038365,26.2977263,2.338228441,48.8632096,12.01323824,5,0,1,0
17,2015126N27281,60,"Philadelphia Regional Port, PA",-75.202191,39.91882,5/11/2015,5/12/2015,0,0,0,0,0,0,5,0.025723874,0.009472165,0,0,0,0,0,0,0,1,28,1012,160.5633079,11.4,0.007,1.00E-04,18,8.625,4,0.181823495,0.15609962,0.009472165,0,0.129124267,0.076960879,1,1603793,7109,0,0,7.533256217,83.12947672,7.615191826,84.60841794,0,140.5602765,83.51791539,6,0,0,0
18,2015126N27281,61,"New York, NY & NJ",-74.038357,40.673949,5/11/2015,5/12/2015,0,0,0,0,0,0,0,0,0.007031633,0,0,0,0,0,0,0,0,25,1011,172.3236349,9.5,0.004,0.3601,4,12.375,12,0.193031114,0.195124525,0.022129663,0.01509803,0.177273773,0.222657432,1,2736119,2223,0.67,0,50.52896665,11.01420651,46.98525159,58.63959197,0.031374168,5.310926804,13.23278936,238,0,1,0
19,2015126N27281,62,"Port Jefferson, NY",-73.07216,40.94881,5/11/2015,5/12/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1010,139.1624817,8.8,-0.036,0,111,0,0,0,0,0,0,0,0,1,1525894,4843,0.08,0,67.99089069,24.15581943,63.8917004,14.68134801,0.21517115,12.73297049,9.029622533,8,0,0,0
20,2015126N27281,63,"Bridgeport, CT",-73.17886,41.172,5/11/2015,5/12/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1010,164.0031468,8.8,-0.036,0.0113,143,0,0,0,0,0,0,1.10E-30,0,1,61512,4649,0.76,1,47.7070079,18.15791352,46.38157895,91.25077458,0.25691241,44.51820194,102.8737214,15,0,1,0
21,2015126N27281,64,"New Haven, CT",-72.90473,41.29883,5/11/2015,5/12/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1010,163.2708555,10.4,-0.02,0.0104,53,0,0,0,0,0,0,0,3.64E-43,1,134023,7042,0.66,0,13.58444187,53.3779121,17.60531136,82.79112446,0.159136367,81.49594049,127.1276671,13,0,1,0
22,2015126N27281,65,"Port of Providence, RI",-71.39844,41.81178,5/12/2015,5/12/2015,0,0,0,0,0,0,0,0,3.71E-05,0,0,0,0,0,0,0,0,25,1009,126.6785715,9.9,0.023,0.2506,65,1.25,1,0.067992092,0.127315293,3.71E-05,0,0.014688868,0.020036659,1,660728,3314,0.91,0,24.37825333,29.69564286,22.5503663,56.18594785,0.118777885,29.8476603,140.8762173,7,0,0,0
23,2015126N27281,66,"Boston, MA",-71.032029,42.342468,5/12/2015,5/12/2015,5/12/2015,5/16/2015 0:00,3,14.13330106,1,4,0,0.002499558,0,0,0,0,0,0,0,0,0,25,1009,173.5375339,9.9,0.046,0.0305,76,4.25,4,0.154630543,0.152130986,0.007165281,0.007995431,0.052912325,0.062198007,1,800930,210,0,0,5.272797378,64.14820455,5.924667438,10.00166834,0.4239511,42.09495655,156.0631995,45,0,1,0
24,2015126N27281,67,"Portsmouth, NH",-70.73806,43.07398,5/12/2015,5/12/2015,5/12/2015,5/14/2015 0:00,2,2.007820717,1,2,1,0.087284609,2.33E-04,0,0,0,0,0,0,1,1,25,1007,201.1840039,9.9,0.002,0.0102,122,1.428571429,0,0.087284609,0,2.33E-04,0,0.005759371,3.64E-43,1,211969,6672,0.25,0,65.59547908,28.03940699,62.5409678,51.53367653,0.382365375,23.32326683,37.90739944,5,0,0,0
25,2015126N27281,68,"Portland, ME",-70.25134,43.64951,5/12/2015,5/12/2015,5/11/2015,5/13/2015 0:00,2,4.465543082,1,2,0,0,0,0,0,0,0,0,0,1,1,25,1007,229.593936,9.9,0.002,0.0602,79,0.625,1,0.060494937,0.098043575,0,0,0.006461864,0.005069974,1,303065,4053,0.17,0,9.858781569,58.37398567,9.300896472,45.77792078,0.1803007,16.85598581,64.49985172,22,0,1,0
26,2015126N27281,69,"Searsport, ME",-68.92497,44.45285,5/12/2015,5/12/2015,0,0,0,0,0,0,2,0.092854095,0.001985045,0,0,0,0,0,0,1,1,25,1005,223.847544,8,-0.001,0.1807,139,1.571428571,0,0.092854095,0,0.001985045,0,0.012292741,0,1,39596,6292,0.44,0,74.87348178,56.22754206,80.77284558,51.08322608,0.1438604,19.57955125,8.042512401,4,0,1,0
27,2015126N27281,70,"Albany Port District, NY",-73.74816,42.64271,5/12/2015,5/12/2015,0,0,0,0,0,0,0,3.93E-04,0.001138224,0,0,0,0,0,0,1,1,25,1010,327.9504586,8.8,-0.036,0.0105,75,1.125,1,0.134358628,0.133966092,0.001138224,0,0.018719144,0.023647997,1,314851,3063,0.97,1,33.00077116,19.18830164,30.85719105,95.68020401,0,117.1266949,110.6051353,15,0,0,0
28,2015167N27266,27,"Corpus Christi, TX",-97.39789,27.81277,6/16/2015,6/17/2015,0,0,0,0,0,0,0,5.41E-04,3.07E-05,0,0,0,0,0,0,1,1,50,997,80.95143906,11.6,0.46,0.821,3,6.5,7,0.170338936,0.16979798,0.001308726,0.001278018,0.141487243,0.132743187,1,353175,2730,0.79,0,72.53831695,39.14760964,98.35164835,81.38018971,0.398266001,44.69976388,72.05149245,34,1,0,0
29,2015167N27266,28,"Victoria, TX",-96.97247,28.69131,6/16/2015,6/17/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,998,27.09540283,19.8,1.122,17.2015,121,0,0,0,0,0,0,0,0,1,91322,3225,0.59,1,89.11099865,51.49917902,99.47585309,94.664903,0.015102668,47.41633969,0,3,1,0,0
30,2015167N27266,29,"Calhoun Port Authority, TX",-96.592324,28.629389,6/16/2015,6/17/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,998,24.87035336,19.8,1.122,5.27,77,4.25,4,0.157097183,0.163203883,1.32E-04,5.45E-04,0.092894563,0.07195812,1,20105,4605,0.78,0,29.7462406,98.19384623,27.78340081,79.19467086,0.148552897,0,12.86644873,21,1,0,0
31,2015167N27266,30,"Port Freeport, TX",-95.3707,28.96133,6/16/2015,6/17/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,997,123.0781695,14,0.824,3.362,19,6,8,0.173518099,0.180752688,0.001297819,0.004466177,0.135545286,0.153467905,1,372035,6037,0.81,0,39.36162522,88.575304,40.51354347,90.05553172,0.1214167,45.79533704,34.44388847,29,1,0,0
32,2015167N27266,31,"Texas City, TX",-94.918091,29.363068,6/16/2015,6/17/2015,0,0,0,0,0,0,1,0.003879863,3.01E-04,0,0,0,0,0,0,1,1,48,999,185.6325886,14,0.882,2.8416,17,5.25,4,0.163975101,0.160095238,3.98E-04,9.62E-05,0.106058834,0.067488967,1,350684,2699,0.69,0,61.64449586,62.80132308,69.7127434,79.85485485,3.331735398,82.90400884,26.89038024,34,1,0,0
33,2015167N27266,32,"Galveston, TX",-94.8127,29.31049,6/16/2015,6/17/2015,0,0,0,0,0,0,2,0.001315057,0.004032305,0,0,0,0,0,0,1,1,48,999,184.2796701,18.2,0.746,2.8416,38,9.5,7,0.190191461,0.188876404,0.007606754,0.003574449,0.177885928,0.126948284,1,350684,3429,0.98,1,78.81603046,38.91559384,98.83000771,67.49725916,1.06381052,106.5651843,52.11589621,50,1,0,0
34,2015167N27266,33,"Houston Port Authority, TX",-95.293679,29.747023,6/16/2015,6/18/2015,6/16/2015,6/18/2015 0:00,1,45.66913799,0.364036696,2,4,0.032212271,0.024968602,0,0,0,0,0,0,1,1,35,999,165.171788,9.6,0.901,1.59,1,19.25,15,0.240133063,0.207920792,0.042143736,0.017175134,0.335397686,0.279859776,1,4731122,3669,0.92,1,42.20768267,27.16845537,44.12352998,91.38543305,0.028902552,255.2834684,79.16706021,229,1,0,0
35,2015167N27266,34,"Beaumont, TX",-94.094985,30.084872,6/16/2015,6/17/2015,0,0,0,0,0,0,6,0.038468754,0,0,0,0,0,0,0,0,0,45,1001,295.7590332,10.8,0.627,0,7,7.5,2,0.175135421,0.136666667,0.004487038,0.008080808,0.132223095,0.012021229,1,256521,1617,0.86,1,23.45286293,98.88989363,39.33993638,97.0637304,0.401576661,177.0853231,56.40203353,13,1,0,0
36,2015167N27266,35,"Port Arthur, TX",-93.96069,29.83142,6/16/2015,6/17/2015,0,0,0,0,0,0,0,0,0.00178823,0,0,0,0,0,0,0,0,45,1001,275.3558154,10.8,0.627,7.202,15,5.5,6,0.165629688,0.1681,0.003099918,0.001311688,0.096324267,0.099801632,1,256521,2279,0.36,0,93.48611914,46.72203317,97.5913341,37.92125459,7.013639755,47.91782569,26.92577563,31,1,0,0
37,2015167N27266,36,"Orange County Nav District, TX",-93.72356,30.09537,6/16/2015,6/17/2015,6/15/2015,6/19/2015 0:00,4,7.771911119,1,4,2,0.024875437,4.20E-04,0,0,0,0,0,0,0,0,45,1001,311.8358698,10.8,0.627,0.01,83,3.375,1,0.146921642,0.122046205,4.20E-04,0,0.054514546,0.008933253,1,84810,3283,0.75,0,65.3340081,44.87661519,72.45638134,72.88717289,1.409428011,24.80922205,22.5410433,8,1,0,0
38,2015167N27266,37,"Lake Charles Harbor District, LA",-93.286839,30.106406,6/16/2015,6/17/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,1001,334.6744706,16.45,0.529,1.7115,10,6.875,8,0.172830679,0.197764706,0.003445529,0.032566954,0.136537981,0.117369924,1,216783,4464,0.36,0,91.85343166,55.07222235,87.86027569,14.27260594,6.039098679,8.420022321,10.2096898,7,1,0,0
39,2015167N27266,38,"Port of Iberia District, LA",-91.843795,29.937314,6/16/2015,6/16/2015,0,0,0,0,0,0,2,0.096712236,0,0,0,0,0,0,0,1,1,45,1005,404.7318881,10.6,0.556,0.0105,110,1.666666667,0,0.096712236,0,0,0,0.020633708,0,1,70288,3793,0.89,1,56.91873916,99.12428908,58.11764989,59.29739263,19.69504161,4.405227273,8.422546884,39,1,0,0
40,2015167N27266,39,"West St. Mary Parish Port, LA",-91.513896,29.819673,6/16/2015,6/16/2015,0,0,0,0,0,0,1,0,3.39E-04,0,0,0,0,0,0,0,1,45,1005,414.9110006,10.9,0.591,0,88,2.428571429,1,0.087368995,0.132313231,3.39E-04,0,0.035184576,0.009854362,1,49398,1999,0.66,0,45.20676692,99.98929158,47.08044149,67.75465942,24.75534,14.08786715,19.5917999,3,1,0,0
41,2015167N27266,42,"Terrebonne Parish Port, LA",-90.659051,29.57907,6/16/2015,6/16/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1005,457.3999082,10.9,0.591,0.21,126,2,2,0.094269324,0.134348819,1.47E-04,0.008118812,0.028423842,0.009954556,1,109577,2955,0.94,1,88.44346443,11.22480546,91.0521496,96.10920444,1.263971822,0,47.71695596,15,1,0,0
42,2015167N27266,138,"Port of Harlingen Authority, TX",-97.597105,26.201976,6/16/2015,6/17/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,997,238.5671972,11.7,0.304,2.1004,130,0,0,0,0,0,0,0,0,1,421020,4148,0.84,0,90.47980528,8.809461485,84.54188356,86.18856952,0.988608577,11.49391115,23.17225343,5,1,0,0
43,2015167N27266,139,"Brownsville, TX",-97.398138,25.952201,6/16/2015,6/17/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,997,258.5118149,11.1,0.304,0.0103,50,2.25,3,0.15078062,0.151441441,5.52E-05,6.73E-05,0.056114314,0.068396561,1,421020,5072,0.88,0,53.96062271,99.93812912,66.62087912,95.00572001,11.17156,71.39610443,31.45825332,31,1,0,0
44,2015167N27266,116,"Tulsa-Rogers County Port, OK",-95.74002,36.2182,6/17/2015,6/19/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1004,115.0418785,9.6,0.544,8.0014,84,0,0,0,0,0,0,0,0,0,95236,3051,0.68,0,65.92442645,27.18392309,63.39285714,59.10076743,0,79.9958123,20.66085028,13,0,0,0
45,2015167N27266,110,"Memphis-Shelby County Port, TN",-90.06198,35.18177,6/18/2015,6/20/2015,0,0,0,0,0,0,0,0.02405918,0,0,0,0,0,0,0,0,1,20,1005,205.0639729,9.07,0.206,2.3412,58,1.333333333,1,0.03405918,0.01,0,0,0.00496115,4.84E-27,0,930020,3426,0.96,1,39.96409292,93.17516598,46.2574706,93.68296868,0,19.24214898,13.05785008,4,0,0,0
46,2015167N27266,111,"Helena-West Helena Port, AR",-90.58323,34.52186,6/18/2015,6/20/2015,0,0,0,0,0,0,2,0.082941535,0,0,0,0,0,0,0,0,1,18,1006,248.310647,9.07,0.243,0.05,142,2,0,0.082941535,0,0,0,0.014883451,0,0,16571,1542,0.97,1,33.69722383,58.90583728,42.56193368,97.29491396,0,9.065246454,15.71857058,6,0,0,0
47,2015167N27266,112,"Port of Rosedale, MS",-91.02206,33.813551,6/18/2015,6/20/2015,0,0,0,0,0,0,0,0.003115265,0,0,0,0,0,0,0,0,1,15,1006,299.4647463,9.07,0.243,0,135,0.333333333,0,0.003115265,0,0,0,7.95E-30,7.05E-38,0,30980,2708,0.97,1,88.18078851,44.7707208,96.99489107,95.53124553,0,0,7.315532478,6,0,0,0
48,2015167N27266,113,"Port of Greenville, MS",-91.101605,33.36781,6/18/2015,6/20/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1006,343.2544895,6.6,0.266,0.1104,106,0,0,0,0,0,0,0,0,0,44922,3200,0.77,0,48.40707538,79.83009304,56.63557933,64.56933124,0,13.59008211,16.21631606,19,0,0,0
49,2015167N27266,117,"Kansas City Port Authority, MO",-94.606416,39.111694,6/18/2015,6/19/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1006,369.6279215,7.5,0.478,1.00E-04,149,0,0,0,0,0,0,0,0,0,717216,2619,0.21,0,30.08844226,18.40539704,33.61287835,27.30826064,0,328.4647862,144.7487677,5,0,0,0
50,2015167N27266,90,"Joliet Regional Port, IL",-88.089837,41.515729,6/19/2015,6/20/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1002,413.2988271,7.5,0.169,0,48,0,0,0,0,0,0,8.60E-35,0,0,697298,2574,0.85,0,18.1511471,89.67648669,18.00775978,70.63015396,0,126.4817319,71.42761464,4,0,0,0
51,2015167N27266,91,"Ottawa Port District, IL",-88.849502,41.340778,6/19/2015,6/20/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1002,403.3209978,7.5,0.169,0,146,0,0,0,0,0,0,0,0,0,109650,4811,0.15,0,79.78961828,40.97161078,82.0970696,15.95166595,0,76.93405409,36.64586322,6,0,0,0
52,2015167N27266,92,"Illinois Valley Port, IL",-89.201203,41.312592,6/19/2015,6/20/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1003,415.4195549,7.5,0.169,0,74,0,0,0,0,0,0,0,0,0,33243,3484,0.53,0,66.62328899,43.77721724,61.79631772,54.36865437,0,20.87945893,38.49480621,4,0,0,0
53,2015167N27266,93,"Heart of Illinois Port, IL",-89.604704,40.670189,6/19/2015,6/20/2015,0,0,0,0,0,0,1,0.009345794,0,0,0,0,0,0,0,0,1,18,1003,351.7342794,7.5,0.169,0,82,1,0,0.009345794,0,0,0,1.18E-20,0,0,131341,2583,0.37,0,35.68175246,45.06460748,36.62642182,37.06087039,0,105.4892412,86.91818021,4,0,0,0
54,2015167N27266,94,"Havana Regional Port, IL",-90.069515,40.289261,6/19/2015,6/20/2015,0,0,0,0,0,0,2,0.018691589,0,0,0,0,0,0,0,0,1,20,1004,325.9650405,7.5,0.169,0,104,2,0,0.018691589,0,0,0,2.35E-20,0,0,13091,3214,0.7,0,64.79178716,39.05004402,65.36533642,59.35697602,0,22.50725355,70.21068556,9,0,0,0
55,2015167N27266,95,"Mid-America Port, IA, IL and MO",-91.348317,39.716765,6/19/2015,6/20/2015,0,0,0,0,0,0,0,0.003638532,0,0,0,0,0,0,0,0,1,20,1005,296.8009219,7.5,0.169,0,39,0.375,0,0.003638532,0,0,0,2.94E-21,7.05E-38,0,14734,2757,0.55,0,97.56241565,10.70723175,95.82007904,42.86190953,0,42.43997989,37.23669135,1,0,0,0
56,2015167N27266,96,"America's Central Port, IL",-90.10405,38.841903,6/19/2015,6/20/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1004,171.5420302,7.5,0.169,0.32,72,0,0,0,0,0,0,0,0,0,265868,2450,0.79,0,35.04916136,81.03181591,38.48443223,56.002431,0,88.9904531,32.56900146,12,0,0,0
57,2015167N27266,97,"St. Louis City Port, MO",-90.183639,38.626713,6/19/2015,6/20/2015,0,0,0,0,0,0,0,0.004851376,0,0,0,0,0,0,0,0,1,20,1005,158.3643331,7.5,0.169,4.4605,57,0.5,0,0.004851376,0,0,0,5.92E-27,0,0,1004305,5438,0.5,0,2.033930981,71.79044809,3.556969346,39.46446446,0,198.2484775,154.508805,18,0,0,0
58,2015167N27266,98,"Southwest Regional Port, IL",-90.201366,38.585555,6/19/2015,6/20/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1005,153.7889793,7.5,0.169,4.4605,59,0,0,0,0,0,0,0,0,0,257412,5554,0.89,1,45.21520147,45.54291697,87.70242915,84.42370942,0,158.0326507,49.6380737,24,0,0,0
59,2015167N27266,99,"St. Louis County, MO",-90.281577,38.48219,6/19/2015,6/20/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1005,142.4957469,7.5,0.169,4.4605,136,0,0,0,0,0,0,0,0,0,1004305,4818,0.05,0,25.01204935,91.20005711,23.17331791,7.15000715,0,16.49888577,31.17897672,13,0,0,0
60,2015167N27266,100,"Jefferson County Port, MO",-90.374604,38.26396,6/19/2015,6/20/2015,0,0,0,0,0,0,0,0,0.018996055,0,0,0,0,0,0,0,1,20,1005,119.0891696,7.5,0.169,4.4605,92,1.625,2,0.068056246,0.0722,0.018996055,0,2.71E-04,5.61E-07,0,226569,2684,0.4,0,46.80933102,68.02108369,54.64984577,35.65946899,0,26.1202613,25.01307075,1,0,0,0
61,2015167N27266,101,"Kaskaskia Regional Port, IL",-90.046146,38.143332,6/19/2015,6/20/2015,0,0,0,0,0,0,1,0.00968939,0,0,0,0,0,0,0,0,1,20,1005,105.5767893,7.5,0.169,3.49,68,1,0,0.00968939,0,0,0,1.59E-15,0,0,34953,3214,0.06,0,96.71775593,11.42588582,93.65842491,13.55164688,0,0,0,5,0,0,0
62,2015167N27266,102,"New Bourbon Port Authority, MO",-90.090119,38.014533,6/19/2015,6/20/2015,0,0,0,0,0,0,2,0.01937878,0,0,0,0,0,0,0,0,1,20,1005,90.9233777,7.5,0.169,3.49,43,2,0,0.01937878,0,0,0,3.17E-15,0,0,18478,4689,0.65,0,53.64010989,89.80677248,49.9590322,39.36198103,0,15.03800087,0,6,0,0,0
63,2015167N27266,103,"Jackson-Union Port District, IL",-89.512469,37.661656,6/19/2015,6/20/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1004,30.6949292,7.5,0.169,7.8309,90,0,0,0,0,0,0,0,0,0,52966,2526,0.64,0,99.29752265,43.48095091,98.43599383,54.41512942,0,33.20763287,3.743709697,1,0,0,0
