response,ground_truth
"The provided text does not contain information about Brownsville, TX. Therefore, I cannot answer the question.",0%
0,0%
"The provided text does not contain information about Brownsville, TX. It only includes probabilities for locations like GFMX, La Pesca MX, Tampico MX, Tuxpan MX, Veracruz MX, and Frontera MX. Therefore, I cannot answer the question.",0%
0,0%
4,0%
1,0%
1,0%
,N/A
N/A,N/A
N/A,N/A
4,30
24,72
6,96
3,120
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
6,N/A
24,N/A
,
N/A,0%
N/A,0%
,0%
4,2%
1,4%
1,6%
2,6%
C,C.
D,D.
B,B.
,D.
D,A.
D,C.
C,B.
Cabo Rojo to Laguna Verde,Central-northern Veracruz coast and adjacent southern Tamaulipas coastline of Mexico
Cabo Rojo to Laguna Verde,Veracruz and southern Tamaulipas coastline of Mexico
Cabo Rojo to Laguna Verde,Central Veracruz coastline and adjacent Bay of Campeche shorelines
Cabo Rojo to Laguna Verde,Central-northern Veracruz and far southern Tamaulipas coasts of Mexico
Veracruz to Tamaulipas,Mexican coast from about Tampico southward to Veracruz in the southwestern Gulf of Mexico
Tampico to Veracruz,South-central Mexican Gulf coast from Tampico to Veracruz
Veracruz to Tampico,Southwestern Gulf coast of Mexico from Tampico southward to Veracruz
D,D.
C,C.
C,C.
C,C.
B,B.
A,A.
A,A.
C,C.
C,C.
D,D.
,A.
B,B.
B,C.
C,C.
Belize,Central-northern Veracruz coast and adjacent southern Tamaulipas coastline of Mexico
Belize,Veracruz and southern Tamaulipas coastline of Mexico
Belize,Central Veracruz coastline and adjacent Bay of Campeche shorelines
Belize,Central-northern Veracruz and far southern Tamaulipas coasts of Mexico
Belize,Mexican coast from about Tampico southward to Veracruz in the southwestern Gulf of Mexico
Belize,South-central Mexican Gulf coast from Tampico to Veracruz
Belize,Southwestern Gulf coast of Mexico from Tampico southward to Veracruz
24,15
28,27
27,36
29,48
27,39
28,96
28,96
24,N/A
24,0
24,0
24,0
24,0
24,N/A (system is not forecast to track near the Brownsville offshore area)
24,
B,D.
B,B.
B,D.
D,D.
B,D.
D,D.
D,D.
,A.
C,A.
C,A.
B,A.
C,A.
C,A.
C,A.
D,A.
D,A.
D,A.
A,C.
B,D.
B,D.
B,D.
No,No
No,No
No,No
No,No
No,No
Yes,No
No,No
,A.
D,A.
D,A.
A,C.
B,B.
A,B.
A,B.
36,15
72,27
72,36
48,48
72,39
72,96
,96
D,D.
D,D.
D,B.
D,A.
D,A.
D,D.
D,B.
A,B.
A,B.
B,B.
A,B.
A,A.
B,A.
B,B.
A,B.
A,B.
A,B.
A,B.
A,A.
B,A.
B,A.
,None
Swells.,None anticipated that would affect port operations.
Rip current conditions.,Increased swells and dangerous rip currents along South Texas beaches
Rip current conditions.,None anticipated that would disrupt port operations.
Mudslides.,Increased swells and rip currents possible along south Texas beaches.
None.,Possibly higher seas and rip currents along the lower Texas coast due to distant circulation.
None,None of significance for port operations
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""13"",
    ""in 24h"": ""11"",
    ""in 48h"": ""5"",
    ""in 72h"": ""5"",
    ""in 96h"": ""5""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""3"",
    ""in 48h"": ""6"",
    ""in 72h"": ""X"",
    ""in 96h"": ""X""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""2"",
    ""in 48h"": ""1"",
    ""in 72h"": ""1"",
    ""in 96h"": ""X""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""2"",
    ""in 48h"": ""2"",
    ""in 72h"": ""1"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '4%', 'in 72h': '4%', 'in 96h': '4%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""1"",
    ""in 48h"": ""2"",
    ""in 72h"": ""2"",
    ""in 96h"": ""1""
  }
}
```","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '2%', 'in 72h': '4%', 'in 96h': '4%'}"
,"{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '3%', 'in 72h': '5%', 'in 96h': '6%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""3"",
    ""in 24h"": ""5"",
    ""in 48h"": ""5"",
    ""in 72h"": ""5"",
    ""in 96h"": ""5""
  }
}
```","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '3%', 'in 72h': '5%', 'in 96h': '6%'}"
09-09-2017,None
01-09-2017,None
09-10-2017,None
16-09-2017,None
07-09-2017,None
07-09-2017,None
05-09-2017,None
"40

 1- 2- 3.-

I 4-

 5-

 7

 9

- 10.

111- 111111

1111011

0

1. 2
2-
0

2.

To

0
1.401

This

00 0

00

0

00000

0

00

000 .

0000

0.

28-09-2017",None
01-09-2017,None
06-09-2017,None
17-09-2017,None
07-09-2017,None
06-09-2017,None
07-09-2017,None
"08-09-28.08.

080%
H what?8. You8-08-12.
  time8.8-08.
.
8.8.
.

88799760000.

08-08-12. and
.
hurricane8.79742.

12.

10

8858.

8100

.5.

807.40.8.",None
01-09-2017,None
07-09-2017,None
11-09-2017,None
08-09-2017,None
18-09-2017,None
18-09-2017,None
3,0
3,0
4,0
5,0
4,0
5,0
5,0
3,None
5,None
,None
2,None
"4.

 
4.",None
0,None
"The amount of the
Total the 

Therefore the hours.

 - .4 - , the total power the
 - the


1 the
10. THE number. - for more than,

 -A, followed. the - the

 - 

H-H - ,

 - interior

2 {the duration
 - one hour for 40. - interior

The

 - 8 -
 - . -
20 

 - the - the

 - interior -
H-
  -
 - 5H 
 - interiorH

 - - theH
 - 

H the

- 

 -H  T -H-

 - - your friend
H. the 

- a number
 - A number

 -0 - - { -

A - { - . { -  - . -

 -H

YYOU - 6 - hours and
 - { your location

 -

A - hours
 - The hour your

KEY - the - .00 - for - 

 - - uesday next -0 - - hours - -

0",None
,None
None,None
None,None
X,None
1,None
3,None
34,None
A,A.
A,A.
A,A.
A,A.
B,A.
B,A.
"A
- 5- 1 of 14)
.  i...
 

 A 40...
2 with a system to  ...  of  for

 

 - for... where.
The  available today

A",A.
