time_utc,id,text,photos,CycloneName,Year,PortList,Condition,ConditionEffectiveTime,VesselOps,OceanVesselOps,FacilityOps
10/6/2024 13:21,11,"@USCG @NWSKeyWest @NWSNHC @USCGLANTAREA @City_of_KeyWest @FLSERT @FLGuard @EvergladesNPS #Update The Captain of the Port of Key West set Port Condition X-Ray ahead of Tropical Storm #Milton.   Follow @NWSKeyWest, @NHC_Atlantic for storm updates.   Reminder: Use 911 and Ch. 16 to call for help! 🚨 https://t.co/czMTVAkA7M",11_1.jpg,MILTON,2024,KeyWest,X-RAY,10/6/2024 1:00,Vessels wishing to remain in port must obtain permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should divert to an alternate port.,Vessels wishing to remain in port must obtain permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should divert to an alternate port.,Ports and facilities are open to all commercial traffic and transfer operations may continue while Port Condition X-Ray is in effect.
10/6/2024 12:16,12,#HappeningNow @USCG Sector St. Petersburg set Port Condition Whiskey ahead of Tropical Storm #Milton. Follow @NWSTampaBay and @NWSNHC for the latest storm updates.  Stay up to date on port conditions in Tampa Bay at https://t.co/lNWbbov5Oh  Read more: ✍️ https://t.co/A2IsbjwqxX https://t.co/i5eytuRksc,12_1.jpg,MILTON,2024,"Tampa, Manatee, Petersburg",WHISKEY,10/6/2024 0:00,Vessels wishing to remain in port must obtain Captain-of-the-Port permission and submit a written safe-mooring plan; vessels unable to offload and depart within 24 h of threatening winds should divert to an alternate port.,Vessels wishing to remain in port must obtain Captain-of-the-Port permission and submit a written safe-mooring plan; vessels unable to offload and depart within 24 h of threatening winds should divert to an alternate port.,Ports and facilities stay open to all commercial traffic and may continue all transfer operations while Condition WHISKEY is in effect.
10/6/2024 0:36,13,"#Breaking @USCG Sector Key West set Port Condition Whiskey, Sat., ahead of Tropical Storm #Milton. Follow @NWSKeyWest &amp; @NWSNHC for the latest storm updates. ⛈️  Stay up to date on port conditions in Key West at https://t.co/HnaR8hSpzs  Read more here: ✍️https://t.co/KshMX1fmKm https://t.co/erSVKHTnra",13_1.jpg,MILTON,2024,KeyWest,WHISKEY,10/5/2024 12:00,Vessels wishing to remain in port must obtain Captain of the Port permission and submit a written safe-mooring plan; vessels unable to safely offload and depart within 24 hours of threatening winds should seek an alternate port.,Vessels wishing to remain in port must obtain Captain of the Port permission and submit a written safe-mooring plan; vessels unable to safely offload and depart within 24 hours of threatening winds should seek an alternate port.,Ports and facilities remain open to all commercial traffic and all transfer operations may continue while Condition WHISKEY is in effect.
9/26/2024 11:54,17,"@USCG @NWSJacksonville @NWSMelbourne @NWSCharlestonSC #NorthFlorida #Update @USCG Capt. of the Port has set Port Condition Zulu for #Jacksonville, #Fernandina &amp; #PortCanaveral ahead of Hurricane #Helene.  If your vessel is safely moored or out of the water, please disable your EPIRB devices to prevent false alerts. https://t.co/oK1Q8j7C9C",17_1.jpg,HELENE,2024,"Jacksonville, Fernandina, Canaveral",ZULU,9/25/2024 23:00,No vessels may enter or transit the ports without Captain-of-the-Port permission and all vessel movements are prohibited; mariners advised that ports are not safe havens and should keep vessel inventory at a minimum.,No vessels may enter or transit the ports without Captain-of-the-Port permission and all vessel movements are prohibited; mariners advised that ports are not safe havens and should keep vessel inventory at a minimum.,Facility preparations should already be complete; all waterfront operations are suspended except final safety actions authorized by the Captain of the Port.
9/26/2024 0:56,18,@USCG #UPDATE @USCG Sector St. Petersburg set Port Condition Zulu ahead of Hurricane #Helene. If your vessel is safely moored or out of the water please disable EPIRB devices to prevent false alerts. https://t.co/mdefc4Tk1q,18_1.jpg,HELENE,2024,"Tampa, Manatee, StPetersburg",ZULU,9/25/2024 12:00,No vessels may enter or transit the port without Captain of the Port permission; all vessel movements are prohibited.,No vessels may enter or transit the port without Captain of the Port permission; all vessel movements are prohibited.,All waterfront operations are suspended except final safety preparations authorized by the Captain of the Port; facility preparations should be complete and ports should minimize the number of vessels alongside.
9/25/2024 20:09,19,@USCG @NWSJacksonville @NWSMelbourne #Georgia #PortUpdate @USCG Capt. of the Port for #Savannah and #Brunswick has set Port Condition Yankee ahead of Hurricane #Helene.  Follow @NWSCharlestonSC for the latest storm updates in your area.  Stay up to date on port conditions in #Georgia at: https://t.co/ag5GO1Vl7K https://t.co/6xvnmfVOT8,19_1.jpg,HELENE,2024,"Savannah, Brunswick",YANKEE,9/25/2024 8:00,"Mariners are advised there are no safe havens in port; all vessels, barges and pleasure craft should plan to depart the port early and any vessel unable to off-load and depart at least 8 hours before threatening winds must seek an alternate port.","Mariners are advised there are no safe havens in port; all vessels, barges and pleasure craft should plan to depart the port early and any vessel unable to off-load and depart at least 8 hours before threatening winds must seek an alternate port.","Ports and waterfront facilities should keep the inventory of vessels at a minimum, implement hurricane preparedness actions, and monitor Coast Guard updates as sustained gale-force winds are possible within 24 hours."
9/25/2024 16:43,20,"#NorthFlorida #PortUpdate @USCG Capt. of the Port has set Port Condition Yankee for #Jacksonville, #Fernandina &amp; #PortCanaveral ahead of Hurricane #Helene.  Follow @NWSJacksonville &amp; @NWSMelbourne for storm updates.  Stay up to date on port conditions at: https://t.co/h7q09kLElf https://t.co/0WWNJyDkkO",20_1.jpg,HELENE,2024,"Jacksonville, Fernandina, Canaveral",YANKEE,9/25/2024 4:00,Mariners are reminded there are no safe havens at these facilities; ports are safest when the inventory of vessels is at a minimum and all vessels should be prepared to depart and stay off the water.,Mariners are reminded there are no safe havens at these facilities; ports are safest when the inventory of vessels is at a minimum and all vessels should be prepared to depart and stay off the water.,"Port Condition YANKEE is in effect; ports should begin storm preparations, secure facilities and waterfront areas, and monitor Coast Guard Homeport for further directions."
9/25/2024 13:15,21,"@USCG #PortUpdate @USCG Sector Key West set port condition Zulu ahead of Tropical Storm #Helene.  Follow @NWSKeyWest for storm updates. Stay up to date on port conditions at: https://t.co/CXuFjtFSFC  Reminder, social media is not the place to report an emergency. Use VHF Ch. 16 or 911. https://t.co/6vi0neY28t",21_1.jpg,HELENE,2024,KeyWest,ZULU,9/25/2024 1:00,All vessel movements are prohibited; no vessels may enter or transit the port without permission of the Captain of the Port. Mariners are advised that the port offers no safe haven and the vessel inventory should be at a minimum.,All vessel movements are prohibited; no vessels may enter or transit the port without permission of the Captain of the Port. Mariners are advised that the port offers no safe haven and the vessel inventory should be at a minimum.,All waterfront operations are suspended except final safety preparations authorized by the Captain of the Port; facility storm preparations should now be complete.
9/25/2024 12:06,22,#UPDATE @USCG Sector St. Petersburg set Port Condition Yankee in anticipation of #TropicalStormHelene. Vessels greater than 300 gross tons must depart. If your vessel is safely moored or out of the water please disable EPIRB devices to prevent false alerts. 🛟 #SAR #StPetersburg https://t.co/aA10X4T3cS,22_1.jpg,HELENE,2024,"Tampa, Manatee, StPetersburg",YANKEE,9/25/2024 0:00,Vessels greater than 300 gross tons must depart the sector; vessels already safely moored or hauled out should disable EPIRBs to prevent false alerts; all barges and pleasure craft should plan to leave early before bridge closures.,Vessels greater than 300 gross tons must depart the sector; vessels already safely moored or hauled out should disable EPIRBs to prevent false alerts; all barges and pleasure craft should plan to leave early before bridge closures.,Facilities are reminded there are no safe havens; ports are safest when vessel inventory is at a minimum and should ensure vessels are reduced to the lowest number possible while monitoring Coast Guard Homeport for further updates.
9/24/2024 20:51,23,#HappeningNow @USCG Sector Key West set Port Condition Yankee in anticipation of Tropical Storm #Helene. Vessels greater than 300 gross tons must depart. If your vessel is safely moored or out of the water please disable EPIRB devices to prevent false alerts. 🛟 #SAR #KeyWest https://t.co/4cS2GFhpAU,23_1.jpg,HELENE,2024,"KeyWest, Marathon, KeyLargo, Islamorada",YANKEE,9/24/2024 8:00,"Vessels over 300 GT must depart; all vessels, barges and pleasure craft should plan to leave early, disable EPIRBs if safely moored or hauled out, and recognize no safe havens exist in port.","Vessels over 300 GT must depart; all vessels, barges and pleasure craft should plan to leave early, disable EPIRBs if safely moored or hauled out, and recognize no safe havens exist in port.","Ports and waterfront facilities should reduce the inventory of vessels alongside, prepare for 35–43 mph winds within 24 h, and implement safety measures as no safe havens are available."
9/24/2024 0:33,24,#HappeningNow @USCG Sector Key West set Port Condition X-Ray ahead of #PotentialTropicalCycloneNine. Follow @NWSKeyWest and @NWSNHC for the latest storm updates. ⛈️   Stay up to date on port conditions in Key West at https://t.co/tBVfEmcc3w  📰: https://t.co/aM01hMFTHR https://t.co/04t2kmM4nr,24_1.jpg,NINE,2024,"KeyWest, Marathon, KeyLargo",X-RAY,9/23/2024 12:00,Vessels wishing to remain in port must obtain Captain of the Port approval and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should seek an alternate port.,Vessels wishing to remain in port must obtain Captain of the Port approval and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should seek an alternate port.,Ports and facilities remain open to all commercial traffic and all transfer operations may continue.
9/23/2024 19:08,25,#HappeningNow @USCG Sector St. Petersburg set Port Condition X-Ray ahead of #PotentialTropicalCycloneNine. Follow @NWSTampaBay and @NWSNHC for the latest storm updates.   Stay up to date on port conditions in Tampa Bay at https://t.co/hs6ev6NzgQ…   📰: https://t.co/EeD5k73knR https://t.co/TwYwDUWZok,25_1.jpg,NINE,2024,"Tampa, Manatee, StPetersburg",X-RAY,9/23/2024 7:00,Vessels that want to stay in port must contact the Captain of the Port for approval and submit a written safe-mooring plan.,Vessels that want to stay in port must contact the Captain of the Port for approval and submit a written safe-mooring plan.,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Port Condition X-RAY is in effect.
8/25/2024 1:53,358,UPDATE 3: The #USCG Captain of the Port has set port condition Zulu for Hawaii County seaports; all commercial ports in Hawaii County are closed to inbound and outbound traffic. #TropicalStormHone,/,HONE,2024,['HAWAII'],ZULU,8/25/2024 1:53,,,
8/24/2024 19:46,359,UPDATE 2: The #USCG Captain of the Port has set port condition X-Ray for Oahu and Maui County seaports and port condition Yankee for Hawaii County seaports due to #TropicalStormHone.,/,HONE,2024,"['OAHU', 'MAUI', 'HAWAII']",X-RAY,8/24/2024 19:46,,,
8/23/2024 1:23,360,UPDATE 1: The #USCG Captain of the Port has set port condition Whiskey for Hawaii County seaports due to #TropicalStormHone. https://t.co/iDG0tQG73r,/,HONE,2024,['HAWAII'],WHISKEY,8/23/2024 1:23,,,
8/13/2024 22:09,28,"The @USCG set Port Condition Zulu for the U.S. Virgin Islands and Puerto Rico seaports Tuesday evening, ahead of Tropical Storm #Ernesto.   Stay up to date on Port Conditions at  https://t.co/ngVPr5x4fO  #HurricaneSzn2024 https://t.co/Vq154OOBfk",28_1.jpg,ERNESTO,2024,"SanJuan, Ponce, Mayaguez, Guayanilla, Yabucoa, Fajardo, Humacao, Arecibo, CharlotteAmalie, Christiansted, Frederiksted, CruzBay",ZULU,8/13/2024 10:00,No vessels may enter or transit within the ports without Captain-of-the-Port permission; all vessel movements are prohibited.,No vessels may enter or transit within the ports without Captain-of-the-Port permission; all vessel movements are prohibited.,"All waterfront operations are suspended; only final safety preparations authorized by the Captain of the Port may continue, and facility storm preparations should already be complete."
8/13/2024 17:10,29,"The ⁦@USCG⁩ set Port Condition YANKEE for the U.S. Virgin Islands &amp; Puerto Rico seaports, Tuesday morning, ahead of Tropical Storm #Ernesto. The Captain of the Port anticipates setting port condition ZULU this evening. #HurricaneSzn2024  Read more ⬇️ https://t.co/Zfe9vdyaKC",/,ERNESTO,2024,"['VIRGIN', 'PUERTO']",YANKEE,8/13/2024 17:10,,,
8/4/2024 0:11,33,"@USCG Captain of the Port for Sector St. Petersburg set port condition Zulu ahead of Tropical Storm #Debby.   Reminder, social media is not the place to report an emergency. Use VHF Ch. 16 or 911. https://t.co/1QjjwjWnos",33_1.jpg,DEBBY,2024,"Tampa, StPetersburg, Manatee, Clearwater",ZULU,8/3/2024 12:00,No vessels may enter or transit the port without permission of the Captain of the Port; all vessel movements are prohibited and mariners are advised to keep the inventory of vessels in port to a minimum.,No vessels may enter or transit the port without permission of the Captain of the Port; all vessel movements are prohibited and mariners are advised to keep the inventory of vessels in port to a minimum.,Facility storm preparations should now be complete; all waterfront operations are shut down and ports and facilities must remain secured until Condition Zulu is lifted.
8/3/2024 12:14,34,#HappeningNow @USCG Sector St. Petersburg set Port Condition YANKEE ahead of #TropicalDepressionFour. Follow @NWSTampaBay and @NWSNHC for the latest storm updates.   Stay up to date on port conditions in Tampa Bay at https://t.co/hs6ev6NzgQ…   📰: https://t.co/nWSt8PcHGO https://t.co/8vWchqNkZe,34_1.jpg,FOUR,2024,"Tampa, Manatee, StPetersburg",YANKEE,8/3/2024 0:00,"All ocean-going vessels, barges and pleasure craft should make plans to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens in the facilities and ports are safest when the inventory of vessels is at a minimum. Vessels unable to offload and depart within 8 hours of threatening winds should seek an alternate port.","All ocean-going vessels, barges and pleasure craft should make plans to depart the port early to avoid bridge closures; mariners are reminded there are no safe havens in the facilities and ports are safest when the inventory of vessels is at a minimum. Vessels unable to offload and depart within 8 hours of threatening winds should seek an alternate port.",Minimize the number of vessels in port; ensure no safe-haven expectations are given; monitor Coast Guard Homeport site for further directives.
7/7/2024 21:23,376,"UPDATE: The Ports of Houston, Galveston, Freeport &amp; Texas City are now in Port Condition Zulu. https://t.co/NRFBYDBVmN",376_1.jpg; 376_2.jpg,BERYL,2024,"Houston, Galveston, Freeport, TexasCity",ZULU,7/7/2024 21:00,All vessel transits within the safety zone are suspended unless specifically approved by the Captain of the Port or VTS; vessels still in port must be fully secured at their berths with AIS energized; any final repositioning must be coordinated with VTS and movements to safe refuge require prior approval.,All vessel transits within the safety zone are suspended unless specifically approved by the Captain of the Port or VTS; vessels still in port must be fully secured at their berths with AIS energized; any final repositioning must be coordinated with VTS and movements to safe refuge require prior approval.,"Ports and waterfront facilities must finalize storm preparations, cease all cargo and bunkering operations, suspend normal waterfront activities except COTP-approved safety work, maintain communication with the COTP/VTS, and promptly report any hazardous or unusual conditions."
7/7/2024 16:50,377,"As of this morning, the @USCG  has set the port condition of Corpus Christi to Zulu and the Houston-Galveston area to Yankee. #HurricaneBeryl #Beryl https://t.co/zpPlHozcae",377_1.jpg; 377_2.jpg,BERYL,2024,"Houston, Galveston",YANKEE,7/7/2024 4:00,"Mariners are reminded there are no safe havens; under Condition Zulu no vessels may enter or transit the port and all vessel movements are prohibited; under Condition Yankee all vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures.","Mariners are reminded there are no safe havens; under Condition Zulu no vessels may enter or transit the port and all vessel movements are prohibited; under Condition Yankee all vessels, barges and pleasure craft should plan to depart the port early to avoid bridge closures.","Under Condition Zulu all waterfront operations are suspended except final safety preparations approved by the Captain of the Port, and facility preparations should be complete; ports are safest when the inventory of vessels is at a minimum."
1/9/2024 18:14,36,.@USCG Captain of the Port (COTP) #Charleston has set Port Condition ZULU for coastal #SouthCarolina.  Threatening winds (34 kts/39 mph) from Winter Storm #Finn are possible along the coast of South Carolina within 12 hours.  Monitor port conditions here: https://t.co/R5AWKCjiji https://t.co/V89Q2TkdfH,36_1.jpg,FINN,2024,"Charleston, Georgetown",ZULU,1/9/2024 6:00,No vessels may enter or transit within the ports without the Captain of the Portʼs permission; all vessel movements are prohibited and mariners are reminded the facilities offer no safe havens.,No vessels may enter or transit within the ports without the Captain of the Portʼs permission; all vessel movements are prohibited and mariners are reminded the facilities offer no safe havens.,All waterfront operations are suspended; only final safety preparations approved by the COTP may continue and facility storm preparations should already be complete.
9/15/2023 12:44,430,Sector Northern New England 4/4 https://t.co/kwQI5bZWeV https://t.co/n2A1HBxnXR,430_1.jpg; 430_2.jpg,LEE,2023,"Portland, Searsport, Eastport, Portsmouth",X-RAY,9/14/2023 12:00,"All self-propelled vessels and barges over 500 GT (with tugs) must, no later than 12:00 PM on 15 Sep 2023, either report their intention to depart the Captain of the Port (COTP) Northern New England Zone or, if remaining, submit a Remaining-In-Port Checklist; all vessels entering or departing must keep their Notice of Arrival information updated; mariners should expect possible drawbridge restrictions and safety zones.","All self-propelled vessels and barges over 500 GT (with tugs) must, no later than 12:00 PM on 15 Sep 2023, either report their intention to depart the Captain of the Port (COTP) Northern New England Zone or, if remaining, submit a Remaining-In-Port Checklist; all vessels entering or departing must keep their Notice of Arrival information updated; mariners should expect possible drawbridge restrictions and safety zones.","Facilities are strongly encouraged to submit an MTS Recovery Facility Status Form, monitor weather forecasts, review heavy-weather plans, adjust transfer operations as necessary, and be prepared for possible safety zones or limited-access areas established by the COTP."
9/15/2023 12:44,431,Sector Southeastern New England 2/4 https://t.co/ZmDsfDS2iZ https://t.co/aOMbrllzBN,431_1.jpg; 431_2.jpg,LEE,2023,"Narragansett, MountHope, BuzzardsBay, CapeCodBay, NewBedford",X-RAY,9/15/2023 0:00,"All self-propelled vessels and barges over 500 GT must immediately inform the Captain of the Port whether they will remain in port or depart. Pleasure craft and small craft, including paddle craft, are advised to seek safe harbor, secure their vessels, and avoid operating in expected strong winds and storm surge. Drawbridge openings may stop once high winds or evacuations begin.","All self-propelled vessels and barges over 500 GT must immediately inform the Captain of the Port whether they will remain in port or depart. Pleasure craft and small craft, including paddle craft, are advised to seek safe harbor, secure their vessels, and avoid operating in expected strong winds and storm surge. Drawbridge openings may stop once high winds or evacuations begin.","Ports remain open but must begin preparatory measures. Port managers, harbormasters, and marina managers must advise the Coast Guard when facilities approach capacity for sheltering vessels. Facilities should be ready for potential restrictions on transfer operations, rescinded marine-event permits, and directed vessel movements. Drawbridge and hurricane barrier operations may be suspended during high winds, and waterfront facilities should remove or secure loose equipment and hazardous materials."
9/15/2023 12:44,432,"#HurricaneLee update, all ports within the New England area are in Port Condition X-ray. All ports are open to commercial traffic, but vessel planning is necessary. Details for each port: 1/4",/,LEE,2023,[],X-RAY,9/15/2023 12:44,,,
9/13/2023 17:36,433,Marine Safety Information Bulletin - Port Condition Whiskey  Hurricane Lee is currently a CAT 3 hurricane with the potential to impact New England Friday evening. Mariners should closely monitor the storm's progress and heed all advisories from the @NHC_Atlantic  #HurricaneLee https://t.co/iHqDFY7Hru,433_1.jpg; 433_2.jpg,LEE,2023,"Providence, Narragansett, MountHope, Buzzards, CapeCod",WHISKEY,9/13/2023 5:00,"All self-propelled vessels and barges over 500 GT must immediately notify the Captain of the Port of their intention to remain or depart; pleasure craft should seek safe harbor; all small craft owners should avoid operating in adverse conditions, secure their craft well away from waterways, double up mooring lines and remove hazardous materials.","All self-propelled vessels and barges over 500 GT must immediately notify the Captain of the Port of their intention to remain or depart; pleasure craft should seek safe harbor; all small craft owners should avoid operating in adverse conditions, secure their craft well away from waterways, double up mooring lines and remove hazardous materials.","Ports remain open to commerce but facility operators may be directed to terminate lightering or cargo transfer operations, rescind permits for marine events, and control vessel arrivals/departures; port managers, harbormasters, and marina managers must advise the Coast Guard when their facilities are nearing capacity for sheltered vessels; drawbridges and hurricane barriers may cease operations once high winds or evacuations begin."
